,brand,id,deviceNameFa,deviceNameEn,variants
0,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه پویا همراه آرمان', 'price': 145990000}"
1,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه نیکان سرویس', 'price': 146500000}"
2,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه تسک میران', 'price': 147900000}"
3,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه نیکان سرویس', 'price': 142000000}"
4,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه کسری پارس', 'price': 142300000}"
5,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه سی تلکام', 'price': 147800000}"
6,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه پویا همراه آرمان', 'price': 141990000}"
7,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه پارس پردیس', 'price': 144500000}"
8,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه پویا همراه آرمان', 'price': 142000000}"
9,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه رایانه همراه', 'price': 148900000}"
10,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه مدیا پردازش', 'price': 144100000}"
11,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه مدیا پردازش', 'price': 144350000}"
12,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه کسری پارس', 'price': 148500000}"
13,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه کسری پارس', 'price': 145000000}"
14,شیائومی,7326528,گوشی موبایل شیائومی مدل 11T Pro 2107113SG 5G دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت,Xiaomi 11T Pro 2107113SG 5G Dual SIM 256GB And 12GB RAM Mobile Phone,"{'name': 'گارانتی 18 ماهه فرزان تجارت', 'price': 146500000}"
