,0
0,6460974
1,7845430
2,8123707
3,4834144
4,6460975
5,8246609
6,7326528
7,8086833
8,8119459
9,8414490
10,9092242
11,6529028
12,5986643
13,8379059
14,8360722
15,8655064
16,8324963
17,6459793
18,3246506
19,8169649
20,8364953
21,6351381
22,6461003
23,6241822
24,8093113
25,8951101
26,8094471
27,8366616
28,7066059
29,7179262
30,8093528
31,4667388
32,8360850
33,8407912
34,7384166
35,8580278
36,8123753
37,8206721
38,8169599
39,7918077
40,5749229
41,8571684
42,8802950
43,8407810
44,6361392
45,8102828
46,7065766
47,3266410
48,8461727
49,7962769
50,8408062
51,8587896
52,8642963
53,7051685
54,7116243
55,3738701
56,4048744
57,8408128
58,8586890
59,7053063
60,5202175
61,9050839
62,8182784
63,7581115
64,6452864
65,7065420
66,8561715
67,7051814
68,7624321
69,6574008
70,6324764
71,3388781
72,5744950
73,8586197
74,5596366
75,9118043
76,8683489
77,9117621
78,9095406
79,7854371
80,6459792
81,8998912
82,5796401
83,6574189
84,2261669
85,8695838
86,4330247
87,7249120
88,8246226
89,9352588
90,8465179
91,6461004
92,6223256
93,9075841
94,7179563
95,6850997
96,9007177
97,7402639
98,8751633
99,8478350
100,7419126
101,7580260
102,6721605
103,6361920
104,8365665
105,5472836
106,4907481
107,9118711
108,4008192
109,7178374
110,7418644
111,3215153
112,8468645
113,9000958
114,5726071
115,9303829
116,7122559
117,9213298
118,9301850
119,9079846
120,6588527
121,8696004
122,6244698
123,8086078
124,4834527
125,2212020
126,6529981
127,9186993
128,6452880
129,8739534
130,6093366
131,2087200
132,3479650
133,7178383
134,8320800
135,7986405
136,8570615
137,5195673
138,5689325
139,4656894
140,8191362
141,6249264
142,8570103
143,8580718
144,4122136
145,7986658
146,7260729
147,5266526
148,9210563
149,8107161
150,8502029
151,4230936
152,5621125
153,8678855
154,7855805
155,6807648
156,8796893
157,6458499
158,8581134
159,9197691
160,7954778
161,6807765
162,7178377
163,7328010
164,6337964
165,4259238
166,8086275
167,5548245
168,4244451
169,5950634
170,216624
171,3388999
172,9001307
173,8636106
174,8743212
175,2475940
176,9186004
177,8312773
178,9115608
179,8206881
180,5547545
181,7284761
182,3048126
183,5570927
184,2677898
185,8019037
186,9311766
187,6129961
188,8107063
189,5543971
190,7343215
191,5282152
192,7519415
193,7199511
194,4999425
195,4584694
196,6773752
197,7080285
198,3247034
199,4935058
200,8518508
201,4965489
202,1705521
203,7366989
204,7900155
205,7985522
206,8414889
207,8650521
208,5461499
209,3914961
210,2013047
211,4230198
212,5735486
213,8499003
214,8716935
215,7846394
216,7922172
217,2292372
218,5171703
219,4656300
220,2589305
221,352451
222,1991927
223,4834136
224,502456
225,6973495
226,6223265
227,2589293
228,6703532
229,5475755
230,3923528
231,9093805
232,1002278
233,3071433
234,4675637
235,6451510
236,7033194
237,8328257
238,8121429
239,3832178
240,7908545
241,7631467
242,7631967
243,4656325
244,3246524
245,7624816
246,9311833
247,5171189
248,4838753
249,8265556
250,7632519
251,541775
252,6981772
253,8616655
254,7970108
255,7912585
256,7847353
257,9390351
258,8265397
259,308501
260,4583598
261,6922619
262,8579329
263,8479105
264,5743680
265,4201461
266,7502141
267,7742177
268,7502704
269,8860414
270,6949115
271,8285505
272,8109719
273,2566329
274,8498898
275,3811972
276,2041529
277,7632150
278,7503456
279,8264851
280,2244022
281,8615918
282,6982180
283,3812377
284,8284935
285,8027380
286,7590545
287,381270
288,4848048
289,7949667
290,1477562
291,8469195
292,7912723
293,6798388
294,6974407
295,8572245
296,8572527
297,1479783
298,1481590
299,3140048
300,5547653
301,9375112
302,9375670
303,8477470
304,9375505
305,8983481
306,7631473
307,7970261
308,7747235
309,8981985
310,8982685
311,8983398
312,3320722
313,6902595
314,7503130
315,3116588
316,4839870
317,8983249
318,2477375
319,8982942
320,9424325
321,9423497
322,9422777
