,title,author,link
0,خام‌خواری؛ زنده‌خواری,آرشاویر درآوانسیان,https://taaghche.com/book/73684/%D8%AE%D8%A7%D9%85-%D8%AE%D9%88%D8%A7%D8%B1%DB%8C%D8%9B-%D8%B2%D9%86%D8%AF%D9%87-%D8%AE%D9%88%D8%A7%D8%B1%DB%8C
1,چالش ۲۱ روزه تغذیه سالم گیاهی,معصومه ابراهیم‌زاده عطاری,https://taaghche.com/book/122432/%DA%86%D8%A7%D9%84%D8%B4-%DB%B2%DB%B1-%D8%B1%D9%88%D8%B2%D9%87-%D8%AA%D8%BA%D8%B0%DB%8C%D9%87-%D8%B3%D8%A7%D9%84%D9%85-%DA%AF%DB%8C%D8%A7%D9%87%DB%8C
2,خواص دمنوش‌های گیاهی؛ شامل ۳۹ دستور دمنوش,سید حمید گوداسیایی,https://taaghche.com/book/51714/%D8%AE%D9%88%D8%A7%D8%B5-%D8%AF%D9%85%D9%86%D9%88%D8%B4-%D9%87%D8%A7%DB%8C-%DA%AF%DB%8C%D8%A7%D9%87%DB%8C%D8%9B-%D8%B4%D8%A7%D9%85%D9%84-%DB%B3%DB%B9-%D8%AF%D8%B3%D8%AA%D9%88%D8%B1-%D8%AF%D9%85%D9%86%D9%88%D8%B4
3,رژیم قلیایی، راز درمان تمام بیماری های من,عایشه گل چوروحلو,https://taaghche.com/book/23118/%D8%B1%DA%98%DB%8C%D9%85-%D9%82%D9%84%DB%8C%D8%A7%DB%8C%DB%8C%D8%8C-%D8%B1%D8%A7%D8%B2-%D8%AF%D8%B1%D9%85%D8%A7%D9%86-%D8%AA%D9%85%D8%A7%D9%85-%D8%A8%DB%8C%D9%85%D8%A7%D8%B1%DB%8C-%D9%87%D8%A7%DB%8C-%D9%85%D9%86
4,مغز من و بهانه‌های پرخوری,حامد اختیاری,https://taaghche.com/book/13801/%D9%85%D8%BA%D8%B2-%D9%85%D9%86-%D9%88-%D8%A8%D9%87%D8%A7%D9%86%D9%87-%D9%87%D8%A7%DB%8C-%D9%BE%D8%B1%D8%AE%D9%88%D8%B1%DB%8C
5,رژیم ۱۷ روزه,مایک مورنو,https://taaghche.com/book/548/%D8%B1%DA%98%DB%8C%D9%85-%DB%B1%DB%B7-%D8%B1%D9%88%D8%B2%D9%87
6,روان‌شناسی کاهش وزن دکتر احمد حلت,احمد حلت,https://taaghche.com/book/13539/%D8%B1%D9%88%D8%A7%D9%86-%D8%B4%D9%86%D8%A7%D8%B3%DB%8C-%DA%A9%D8%A7%D9%87%D8%B4-%D9%88%D8%B2%D9%86-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%A7%D8%AD%D9%85%D8%AF-%D8%AD%D9%84%D8%AA
7,من یک چاق خوشحال هستم! بهره‌گیری از مغز هوشمند برای مدیریت و اصلاح بیش‌خوری و اضافه وزن,حامد اختیاری,https://taaghche.com/book/30687/%D9%85%D9%86-%DB%8C%DA%A9-%DA%86%D8%A7%D9%82-%D8%AE%D9%88%D8%B4%D8%AD%D8%A7%D9%84-%D9%87%D8%B3%D8%AA%D9%85-%D8%A8%D9%87%D8%B1%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%A7%D8%B2-%D9%85%D8%BA%D8%B2-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%85%D8%AF%DB%8C%D8%B1%DB%8C%D8%AA-%D9%88-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%A8%DB%8C%D8%B4-%D8%AE%D9%88%D8%B1%DB%8C-%D9%88-%D8%A7%D8%B6%D8%A7%D9%81%D9%87-%D9%88%D8%B2%D9%86
8,نخود برتر از گوشت,رضا حق‌پرست,https://taaghche.com/book/34817/%D9%86%D8%AE%D9%88%D8%AF-%D8%A8%D8%B1%D8%AA%D8%B1-%D8%A7%D8%B2-%DA%AF%D9%88%D8%B4%D8%AA
9,تغذیه کودک و نوجوان در سلامت و بیماری,رویا کلیشادی,https://taaghche.com/book/78326/%D8%AA%D8%BA%D8%B0%DB%8C%D9%87-%DA%A9%D9%88%D8%AF%DA%A9-%D9%88-%D9%86%D9%88%D8%AC%D9%88%D8%A7%D9%86-%D8%AF%D8%B1-%D8%B3%D9%84%D8%A7%D9%85%D8%AA-%D9%88-%D8%A8%DB%8C%D9%85%D8%A7%D8%B1%DB%8C
